,Track_Name,Artists,Album_Name,Album_ID,Track_ID,Popularity,Release_date,Duration(ms),Explicit,External_URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
76,BABY HELLO,"Rauw Alejandro, Bizarrap",BABY HELLO,5KDgQ8sKzlThX02A5urLj0,2SOvWt6igzXViIjIiWNWEP,75,2023-06-23,222462,True,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP,0.773,0.892,1,-3.732,0,0.0483,0.166,3.1e-06,0.429,0.842,130.007
77,Bulletproof,"La Roux, GAMPER & DADONI",Bulletproof,5TSSlGJmfkBNC4M3uoMswL,0SyxZC4wlqAwf20cHE6Xon,75,2021-05-21,162213,False,https://open.spotify.com/track/0SyxZC4wlqAwf20cHE6Xon,0.752,0.771,6,-5.95,1,0.0311,0.00341,1.73e-05,0.0905,0.527,126.02
78,La Jumpa,"Arcángel, Bad Bunny",La Jumpa,6LOhj1aK7vkGHJXtKU16PN,5MxFWjuqQIsbNWbMdMdbli,75,2022-11-30,255693,True,https://open.spotify.com/track/5MxFWjuqQIsbNWbMdMdbli,0.713,0.703,8,-5.769,1,0.194,0.298,0.0,0.321,0.576,123.06
79,Wanna Be (with Megan Thee Stallion),"GloRilla, Megan Thee Stallion",Wanna Be (with Megan Thee Stallion),06VGCe5MitPzT9VuqH4u1C,0Izt8MdEU7zDy2hDsm5YkH,75,2024-04-05,156444,True,https://open.spotify.com/track/0Izt8MdEU7zDy2hDsm5YkH,0.919,0.629,1,-5.17,1,0.376,0.0226,0.0,0.146,0.407,135.05
80,Princess Diana (with Nicki Minaj),"Ice Spice, Nicki Minaj",Princess Diana (with Nicki Minaj),2Q7WBQ794rA9ISPLfqdKjK,0ZxhtATQ0a6EvQNZ0z6NKV,74,2023-04-14,172125,True,https://open.spotify.com/track/0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.689,9,-5.092,1,0.171,0.165,0.0,0.0957,0.772,147.964
81,Drugs From Amsterdam,Mau P,Drugs From Amsterdam,060SvgMzLKrNzpvVLK5gSo,0w7JPlp7eEQI2EKW3ayXrv,74,2022-09-16,235786,False,https://open.spotify.com/track/0w7JPlp7eEQI2EKW3ayXrv,0.686,0.928,8,-10.38,1,0.0527,0.0316,0.727,0.0576,0.631,124.986
82,Players,Coi Leray,Players,4cAAsw7mPkGt15GXQzWlrM,6UN73IYd0hZxLi8wFPMQij,74,2022-11-30,139560,True,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij,0.948,0.512,6,-5.74,0,0.146,0.0269,8.57e-06,0.0504,0.599,105.004
83,Another Love - Tiësto Remix,"Tom Odell, Tiësto",Another Love (Tiësto Remix),1QltVGlNGbK94CKgUsYZGa,4Et6tUEO7biKxZEfJXpNj1,74,2022-05-13,185366,False,https://open.spotify.com/track/4Et6tUEO7biKxZEfJXpNj1,0.79,0.764,4,-4.685,0,0.0737,0.0836,0.0871,0.132,0.473,123.046
84,Remember,"Becky Hill, David Guetta",Remember,6DHfD3rZapWFmEKX1FNNZF,4laAKIq9ZxBCwf99rauPYb,74,2021-06-18,160766,False,https://open.spotify.com/track/4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
85,MONEY ON THE DASH,"Elley Duhé, Whethan",MONEY ON THE DASH,1nlaLDMPSzXL8G5LPBDhwd,1p0jBDjxORjYNJyAphBRpE,73,2023-01-20,145667,False,https://open.spotify.com/track/1p0jBDjxORjYNJyAphBRpE,0.84,0.667,8,-7.126,1,0.0843,0.0439,1.34e-05,0.179,0.292,120.044
